age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
55.0,11,1,6,1,1,1,1,6,1,362.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
46.0,0,1,7,0,0,0,1,6,1,348.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
59.0,9,1,7,0,2,0,1,6,1,386.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
49.0,1,1,7,0,0,0,1,6,1,73.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
54.0,4,1,0,1,2,0,1,6,1,230.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
54.0,1,0,0,0,0,0,1,6,1,208.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
55.0,11,1,0,1,2,0,1,6,1,336.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
34.0,7,1,3,0,0,0,1,6,1,365.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
52.0,9,1,2,0,2,0,1,6,1,1666.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
41.0,0,1,6,0,2,0,1,6,1,577.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
56.0,9,1,0,0,2,0,1,6,1,137.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
58.0,4,3,6,0,2,0,1,6,1,366.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
32.0,2,1,3,0,2,0,1,6,1,314.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
38.0,0,2,5,0,0,0,1,6,1,160.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
57.0,0,1,6,0,0,2,1,6,1,212.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
44.0,0,1,6,1,2,0,1,6,1,188.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
42.0,9,2,5,1,0,0,1,6,1,22.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
57.0,0,1,6,0,2,2,1,6,1,616.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
40.0,1,1,2,0,0,2,1,6,1,178.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
35.0,0,1,6,0,2,0,1,6,1,355.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
45.0,1,1,2,0,2,0,1,6,1,225.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
54.0,0,1,3,0,0,0,1,6,1,160.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
39.0,3,1,0,0,0,2,1,6,1,266.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
60.0,0,1,3,0,0,0,1,6,1,253.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
53.0,0,2,5,0,0,0,1,6,1,179.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
55.0,1,1,0,1,0,0,1,6,1,269.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
55.0,9,1,5,1,2,0,1,6,1,135.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
50.0,4,1,6,1,0,2,1,6,1,161.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
45.0,7,1,3,1,2,0,1,6,1,787.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
55.0,10,1,5,1,2,2,1,6,1,145.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
25.0,9,2,6,0,2,0,1,6,1,174.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
47.0,2,1,6,1,0,0,1,6,1,449.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
51.0,1,1,2,0,2,0,1,6,1,812.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
42.0,1,1,1,1,2,0,1,6,1,164.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
42.0,1,1,1,1,0,0,1,6,1,366.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
48.0,0,1,3,0,0,0,1,6,1,357.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
37.0,0,1,6,0,0,0,1,6,1,232.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
44.0,1,2,2,0,2,0,1,6,1,91.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
33.0,0,1,7,0,2,0,1,6,1,273.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
56.0,0,1,2,0,2,0,1,6,1,158.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
44.0,1,2,0,1,2,2,1,6,1,177.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
41.0,4,1,1,0,0,0,1,6,1,200.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
44.0,4,0,6,0,2,0,1,6,1,172.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
47.0,0,1,6,1,2,0,1,6,1,176.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
57.0,11,1,7,1,0,0,1,6,1,211.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
37.0,0,1,6,1,2,0,1,6,1,214.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
41.0,1,0,0,1,2,0,1,6,1,1575.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
55.0,9,1,6,0,0,0,1,6,1,349.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
33.0,7,1,3,1,2,0,1,6,1,337.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
55.0,4,1,7,1,2,0,1,6,1,272.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
42.0,1,1,2,1,0,0,1,6,1,208.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
50.0,1,1,0,1,2,0,1,6,1,193.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
51.0,1,1,0,1,1,1,1,6,1,212.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
38.0,0,1,3,1,0,0,1,6,1,165.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
49.0,2,1,6,1,2,0,1,6,1,1042.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
38.0,9,2,6,0,0,2,1,6,1,20.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
31.0,0,0,3,0,0,0,1,6,1,246.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
41.0,4,1,1,0,0,0,1,6,1,529.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
39.0,0,1,6,0,2,2,1,6,1,192.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
49.0,9,1,2,0,0,0,1,6,1,1467.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
34.0,0,1,3,0,2,0,1,6,1,188.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
35.0,0,1,6,0,2,0,1,6,1,180.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
57.0,11,1,7,1,2,0,1,6,1,48.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
60.0,0,1,7,1,0,2,1,6,1,213.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
33.0,10,1,2,0,0,0,1,6,1,545.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
42.0,1,1,1,0,0,2,1,6,1,583.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
45.0,7,1,5,0,2,0,1,6,1,221.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
42.0,4,1,6,0,0,0,1,6,1,426.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
53.0,0,0,6,1,0,0,1,6,1,287.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
37.0,9,2,5,0,0,0,1,6,1,197.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
44.0,1,1,1,0,0,0,1,6,1,257.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
54.0,7,1,7,0,2,0,1,6,1,229.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
49.0,1,1,0,0,0,0,1,6,1,55.0,3.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
54.0,7,1,7,0,0,0,1,6,1,400.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
52.0,0,0,6,0,0,0,1,6,1,197.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
52.0,0,0,6,0,0,0,1,6,1,190.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
43.0,7,2,3,1,0,0,1,6,1,21.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
34.0,3,1,1,0,2,0,1,6,1,300.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
35.0,0,1,3,0,2,0,1,6,1,123.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
42.0,2,1,7,1,2,0,1,6,1,293.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
43.0,9,1,7,1,2,2,1,6,1,325.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
60.0,5,0,6,1,0,0,1,6,1,514.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
58.0,10,1,0,1,0,0,1,6,1,849.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
35.0,7,0,3,0,2,0,1,6,1,194.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
55.0,1,1,2,1,2,0,1,6,1,212.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
37.0,4,1,6,0,0,0,1,6,1,337.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
36.0,1,1,3,0,0,0,1,6,1,286.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
52.0,0,0,6,0,0,0,1,6,1,247.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
57.0,1,0,7,1,2,0,1,6,1,518.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
56.0,0,1,7,0,2,0,1,6,1,364.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
48.0,1,0,0,1,2,0,1,6,1,178.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
40.0,1,1,3,1,2,0,1,6,1,98.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
49.0,1,0,3,0,0,0,1,6,1,439.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
41.0,7,1,3,0,0,0,1,6,1,139.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
45.0,9,1,3,0,2,0,1,6,1,79.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
32.0,0,1,6,0,2,2,1,6,1,175.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
42.0,0,1,6,0,0,2,1,6,1,262.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
50.0,0,1,1,0,0,0,1,6,1,61.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
31.0,9,0,5,0,2,2,1,6,1,78.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
56.0,5,1,0,0,2,0,1,6,1,102.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
41.0,9,1,5,1,2,0,1,6,1,579.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
37.0,1,1,1,0,2,2,1,6,1,143.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
41.0,9,1,5,1,0,0,1,6,1,677.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
35.0,1,1,7,0,2,0,1,6,1,267.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
37.0,1,1,1,0,2,0,1,6,1,345.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
52.0,4,1,6,0,0,0,1,6,1,185.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
39.0,4,0,6,0,0,0,1,6,1,207.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
39.0,3,1,0,1,0,0,1,6,1,69.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
56.0,1,1,0,1,0,0,1,6,1,100.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
34.0,7,1,3,0,2,0,1,6,1,125.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
45.0,1,1,2,1,2,0,1,6,1,461.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
43.0,10,2,6,0,2,0,1,6,1,240.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
56.0,4,1,7,0,2,0,1,6,1,70.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
39.0,4,1,6,0,2,0,1,6,1,193.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
53.0,1,1,0,0,2,0,1,6,1,136.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
38.0,11,0,3,1,2,0,1,6,1,73.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
42.0,1,1,0,1,2,0,1,6,1,528.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
42.0,1,1,0,1,0,0,1,6,1,541.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
35.0,0,2,3,0,2,0,1,6,1,338.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
40.0,0,1,6,1,2,0,1,6,1,163.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
51.0,1,1,0,0,2,0,1,6,1,87.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
60.0,1,1,2,1,0,0,1,6,1,301.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
56.0,2,1,7,1,2,0,1,6,1,46.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
39.0,7,0,3,1,2,0,1,6,1,52.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
56.0,2,1,7,1,0,0,1,6,1,204.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
40.0,1,1,7,0,2,2,1,6,1,155.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
36.0,1,1,2,0,2,2,1,6,1,98.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
51.0,1,1,7,1,2,0,1,6,1,71.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
51.0,1,1,7,1,0,0,1,6,1,243.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
43.0,9,2,5,0,2,0,1,6,1,186.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
59.0,7,1,3,0,0,0,1,6,1,579.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
24.0,4,2,6,0,2,0,1,6,1,165.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
37.0,1,2,2,1,2,2,1,6,1,163.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
40.0,1,1,2,1,0,0,1,6,1,46.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
42.0,1,1,2,1,0,0,1,6,1,559.0,3.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
39.0,7,0,3,1,0,0,1,6,1,2033.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
37.0,2,1,1,0,0,0,1,6,1,85.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
38.0,7,1,3,0,2,2,1,6,1,506.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
56.0,0,0,7,1,0,0,1,6,1,114.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
40.0,1,1,7,0,0,0,1,6,1,114.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
54.0,4,0,6,0,2,0,1,6,1,843.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
43.0,1,1,3,1,0,2,1,6,1,181.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
36.0,7,1,3,1,0,0,1,6,1,427.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
45.0,9,1,6,0,2,2,1,6,1,292.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
42.0,0,2,6,1,0,0,1,6,1,192.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
43.0,7,1,3,0,0,0,1,6,1,93.0,3.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
46.0,4,1,2,0,0,0,1,6,1,128.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
44.0,7,1,3,0,2,2,1,6,1,107.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
51.0,0,2,1,0,0,0,1,6,1,303.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
28.0,7,1,3,0,2,0,1,6,1,81.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
37.0,1,1,2,0,0,0,1,6,1,270.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
34.0,9,1,3,0,0,0,1,6,1,228.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
46.0,1,1,1,1,2,0,1,6,1,240.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
42.0,1,1,2,0,2,2,1,6,1,673.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
36.0,0,1,6,0,2,0,1,6,1,233.0,3.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
54.0,1,1,0,1,0,0,1,6,1,102.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
57.0,4,1,6,0,0,0,1,6,1,461.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
51.0,9,1,1,1,0,0,1,6,1,250.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
54.0,5,1,3,1,0,0,1,6,1,130.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
49.0,1,1,0,1,0,0,1,6,1,252.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
34.0,0,1,6,0,2,0,1,6,1,138.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
41.0,9,1,5,0,0,0,1,6,1,412.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
38.0,1,2,2,0,2,0,1,6,1,179.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
45.0,4,0,6,0,0,0,1,6,1,19.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
42.0,9,1,6,0,0,0,1,6,1,228.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
34.0,1,2,2,1,2,0,1,6,1,55.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
48.0,1,1,0,0,2,0,1,6,1,717.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
37.0,0,1,3,1,2,0,1,6,1,313.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
34.0,1,2,2,1,0,0,1,6,1,289.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
40.0,0,1,2,1,2,0,1,6,1,683.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
43.0,1,1,1,0,2,0,1,6,1,1077.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
33.0,7,1,3,0,0,0,1,6,1,146.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
32.0,7,2,1,0,0,0,1,6,1,167.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
39.0,1,1,3,0,2,0,1,6,1,356.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
43.0,0,1,7,0,0,0,1,6,1,277.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
44.0,1,1,2,0,2,0,1,6,1,172.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
35.0,8,2,6,1,0,0,1,6,1,218.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
35.0,8,2,6,1,2,2,1,6,1,217.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
35.0,10,1,5,0,0,0,1,6,1,67.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
36.0,7,2,0,0,0,0,1,6,1,291.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
35.0,8,2,6,1,2,0,1,6,1,248.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
36.0,8,2,2,0,2,0,1,6,1,256.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
55.0,3,0,6,0,0,0,1,6,1,286.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
59.0,0,1,6,0,0,0,1,6,1,477.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
57.0,5,1,7,1,0,0,1,6,1,611.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
39.0,1,1,5,1,2,0,1,6,1,471.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
39.0,3,1,0,1,2,0,1,6,1,381.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
30.0,1,2,7,0,2,0,1,6,1,251.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
30.0,1,2,7,0,2,2,1,6,1,408.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
50.0,3,1,0,1,0,0,1,6,1,287.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
40.0,7,1,3,0,0,0,1,6,1,322.0,3.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
35.0,0,1,3,0,2,0,1,6,1,216.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
43.0,9,1,7,1,0,0,1,6,1,366.0,2.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
36.0,7,2,1,1,2,0,1,6,1,210.0,1.0,999.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0
